UID         PID   PPID  C STIME TTY          TIME CMD
root       2466      1  0 11月26 ?      00:00:08 /usr/libexec/packagekitd
root       2469      1  0 11月26 ?      00:00:03 /usr/sbin/wpa_supplicant -u -f /var/log/wpa_supplicant.log -c /etc/wpa_supplicant/wpa_supplicant.conf -P /var/run/wpa_supplicant.pid
colord     2555      1  0 11月26 ?      00:00:00 /usr/libexec/colord
root       2618   1651  0 11月26 ?      00:00:00 gdm-session-worker [pam/gdm-password]
zxy        2633      1  0 11月26 ?      00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
zxy        2648   2618  0 11月26 ?      00:00:01 /usr/libexec/gnome-session-binary --session gnome-classic
zxy        2658      1  0 11月26 ?      00:00:00 dbus-launch --sh-syntax --exit-with-session
zxy        2659      1  0 11月26 ?      00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
zxy        2686      1  0 11月26 ?      00:00:00 /usr/libexec/imsettings-daemon
zxy        2690      1  0 11月26 ?      00:00:00 /usr/libexec/gvfsd
zxy        2695      1  0 11月26 ?      00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
zxy        2778   2648  0 11月26 ?      00:00:02 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/bash -c "env GNOME_SHELL_SESSION_MODE=classic gnome-session --session gnome-classic"
zxy        2810      1  0 11月26 ?      00:00:00 /usr/libexec/at-spi-bus-launcher
zxy        2815   2810  0 11月26 ?      00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
zxy        2820      1  0 11月26 ?      00:00:01 /usr/libexec/at-spi2-registryd --use-gnome-session
zxy        2847   2648  0 11月26 ?      00:15:56 /usr/bin/gnome-shell
zxy        2857      1  0 11月26 ?      00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
zxy        2872   2847  0 11月26 ?      00:01:52 ibus-daemon --xim --panel disable
zxy        2876   2872  0 11月26 ?      00:00:00 /usr/libexec/ibus-dconf
zxy        2881      1  0 11月26 ?      00:00:13 /usr/libexec/ibus-x11 --kill-daemon
zxy        2884      1  0 11月26 ?      00:00:00 /usr/libexec/ibus-portal
zxy        2894      1  0 11月26 ?      00:00:00 /usr/libexec/xdg-permission-store
zxy        2895      1  0 11月26 ?      00:00:00 /usr/libexec/gnome-shell-calendar-server
zxy        2913      1  0 11月26 ?      00:00:00 /usr/libexec/evolution-source-registry
zxy        2914      1  0 11月26 ?      00:00:00 /usr/libexec/dconf-service
zxy        2925      1  0 11月26 ?      00:00:00 /usr/libexec/mission-control-5
zxy        2927      1  0 11月26 ?      00:00:06 /usr/libexec/gvfs-udisks2-volume-monitor
zxy        2935      1  0 11月26 ?      00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
zxy        2941      1  0 11月26 ?      00:00:00 /usr/libexec/goa-daemon
zxy        2946      1  0 11月26 ?      00:00:00 /usr/libexec/gvfs-goa-volume-monitor
zxy        2976      1  0 11月26 ?      00:00:12 /usr/libexec/goa-identity-service
